query_id,conversation_id
Q000001,wiki-zh/1081824#c0
Q000002,wiki-zh/1081824#c1
Q000003,wiki-zh/1081824#c1
Q000004,wiki-zh/1081824#c1
Q000005,wiki-zh/1081824#c2
Q000006,wiki-zh/1081824#c2
Q000007,wiki-zh/1081824#c3
Q000008,wiki-zh/1081824#c3
Q000009,wiki-zh/1081824#c3
Q000010,wiki-zh/1081824#c4
Q000011,wiki-zh/1081824#c4
Q000012,wiki-zh/1081824#c5
Q000013,wiki-zh/1081824#c5
Q000014,wiki-zh/1081824#c5
Q000015,wiki-zh/1081824#c6
Q000016,wiki-zh/1081824#c6
Q000017,wiki-zh/1081824#c7
Q000018,wiki-zh/1081824#c7
Q000019,wiki-zh/1081824#c7
Q000020,wiki-zh/1081824#c7
Q000021,wiki-zh/1081824#c8
Q000022,wiki-zh/1081824#c7
Q000023,wiki-zh/1081824#c8
Q000024,wiki-zh/1081824#c9
Q000025,wiki-zh/1081824#c10
Q000026,wiki-zh/1081824#c11
Q000027,wiki-zh/1081824#c11
Q000028,wiki-zh/1081824#c11
Q000029,wiki-zh/1081824#c11
Q000030,wiki-zh/1081824#c11
Q000031,wiki-zh/1081824#c11
Q000032,wiki-zh/1081824#c11
Q000033,wiki-zh/1081824#c11
Q000034,wiki-zh/1081824#c11
Q000035,wiki-zh/1081824#c12
Q000036,wiki-zh/1081824#c12
Q000037,wiki-zh/1081824#c13
Q000038,wiki-zh/1081824#c13
Q000039,wiki-zh/1081824#c14
Q000040,wiki-zh/1081824#c14
Q000041,wiki-zh/1081824#c14
Q000042,wiki-zh/1081824#c14
Q000043,wiki-zh/1081824#c14
Q000044,wiki-zh/1081824#c15
Q000045,wiki-zh/1081824#c15
Q000046,wiki-zh/1081824#c14
Q000047,wiki-zh/1081824#c14
Q000048,wiki-zh/1081824#c14
Q000049,wiki-zh/1081824#c15
Q000050,wiki-zh/1081824#c16
Q000051,wiki-zh/1081824#c16
Q000052,wiki-zh/1081824#c17
Q000053,wiki-zh/1081824#c17
Q000054,wiki-zh/1081824#c17
Q000055,wiki-zh/1081824#c17
Q000056,wiki-zh/1081824#c18
Q000057,wiki-zh/1081824#c18
Q000058,wiki-zh/1081824#c18
Q000059,wiki-zh/1081824#c18
Q000060,wiki-zh/1081824#c18
Q000061,wiki-zh/1081824#c19
Q000062,wiki-zh/1081824#c19
Q000063,wiki-zh/1081824#c19
Q000064,wiki-zh/1081824#c19
Q000065,wiki-zh/1081824#c20
Q000066,wiki-zh/1081824#c20
Q000067,wiki-zh/1081824#c20
Q000068,wiki-zh/1081824#c19
Q000069,wiki-zh/1081824#c19
Q000070,wiki-zh/1081824#c19
Q000071,wiki-zh/1081824#c21
Q000072,wiki-zh/1081824#c21
Q000073,wiki-zh/1081824#c21
Q000074,wiki-zh/1081824#c21
Q000075,wiki-zh/1081824#c22
Q000076,wiki-zh/1081824#c22
Q000077,wiki-zh/1081824#c23
Q000078,wiki-zh/1081824#c23
Q000079,wiki-zh/1081824#c23
Q000080,wiki-zh/1081824#c24
Q000081,wiki-zh/1081824#c24
Q000082,wiki-zh/1081824#c24
Q000083,wiki-zh/1081824#c24
Q000084,wiki-zh/1081824#c25
Q000085,wiki-zh/1081824#c25
Q000086,wiki-zh/1081824#c24
Q000087,wiki-zh/1081824#c24
Q000088,wiki-zh/1081824#c26
Q000089,wiki-zh/1081824#c26
Q000090,wiki-zh/1081824#c26
Q000091,wiki-zh/1081824#c26
Q000092,wiki-zh/1081824#c27
Q000093,wiki-zh/1081824#c27
Q000094,wiki-zh/1081824#c28
Q000095,wiki-zh/1081824#c28
Q000096,wiki-zh/1081824#c29
Q000097,wiki-zh/1081824#c29
Q000098,wiki-zh/1081824#c29
Q000099,wiki-zh/1081824#c29
Q000100,wiki-zh/1081824#c29
Q000101,wiki-zh/1081824#c30
Q000102,wiki-zh/1081824#c30
Q000103,wiki-zh/1081824#c31
Q000104,wiki-zh/1081824#c31
Q000105,wiki-zh/1081824#c32
Q000106,wiki-zh/1081824#c32
Q000107,wiki-zh/1081824#c32
Q000108,wiki-zh/1081824#c33
Q000109,wiki-zh/1081824#c33
Q000110,wiki-zh/1081824#c34
Q000111,wiki-zh/1081824#c34
Q000112,wiki-zh/1081824#c34
Q000113,wiki-zh/1081824#c34
Q000114,wiki-zh/1081824#c35
Q000115,wiki-zh/1081824#c35
Q000116,wiki-zh/1081824#c36
Q000117,wiki-zh/1081824#c36
Q000118,wiki-zh/1081824#c36
Q000119,wiki-zh/1081824#c37
Q000120,wiki-zh/1081824#c37
Q000121,wiki-zh/1081824#c38
Q000122,wiki-zh/1081824#c38
Q000123,wiki-zh/1081824#c39
Q000124,wiki-zh/1081824#c39
Q000125,wiki-zh/1081824#c39
Q000126,wiki-zh/1081824#c39
Q000127,wiki-zh/1081824#c40
Q000128,wiki-zh/1081824#c40
Q000129,wiki-zh/1081824#c40
Q000130,wiki-zh/1081824#c40
Q000131,wiki-zh/1081824#c41
Q000132,wiki-zh/1081824#c41
Q000133,wiki-zh/1081824#c41
Q000134,wiki-zh/1081824#c41
Q000135,wiki-zh/1081824#c41
Q000136,wiki-zh/1081824#c41
Q000137,wiki-zh/1081824#c41
